Jurisdiction,County,Status
Alameda,Alameda,Greater than or equal to 50% Affordability
Albany,Alameda,Greater than or equal to 50% Affordability
Berkeley,Alameda,Greater than or equal to 50% Affordability
Dublin,Alameda,Greater than or equal to 50% Affordability
Emeryville,Alameda,Greater than or equal to 10% Affordability
Fremont,Alameda,Greater than or equal to 50% Affordability
Hayward,Alameda,Greater than or equal to 10% Affordability
Livermore,Alameda,Greater than or equal to 50% Affordability
Newark,Alameda,Greater than or equal to 10% Affordability
Oakland,Alameda,Greater than or equal to 50% Affordability
Piedmont,Alameda,Greater than or equal to 50% Affordability
Pleasanton,Alameda,Greater than or equal to 50% Affordability
San Leandro,Alameda,Greater than or equal to 10% Affordability
Union City,Alameda,Greater than or equal to 10% Affordability
Alameda County Unincorporated,Alameda,Greater than or equal to 10% Affordability
Antioch,Contra Costa,Greater than or equal to 50% Affordability
Brentwood,Contra Costa,Greater than or equal to 50% Affordability
Clayton,Contra Costa,Greater than or equal to 10% Affordability
Concord,Contra Costa,Greater than or equal to 10% Affordability
Danville,Contra Costa,Greater than or equal to 50% Affordability
El Cerrito,Contra Costa,Greater than or equal to 50% Affordability
Hercules,Contra Costa,Greater than or equal to 50% Affordability
Lafayette,Contra Costa,Greater than or equal to 50% Affordability
Martinez,Contra Costa,Greater than or equal to 10% Affordability
Moraga,Contra Costa,Greater than or equal to 10% Affordability
Oakley,Contra Costa,Greater than or equal to 50% Affordability
Orinda,Contra Costa,Greater than or equal to 50% Affordability
Pinole,Contra Costa,Greater than or equal to 10% Affordability
Pittsburg,Contra Costa,Greater than or equal to 50% Affordability
Pleasant Hill,Contra Costa,Greater than or equal to 10% Affordability
Richmond,Contra Costa,Greater than or equal to 10% Affordability
San Pablo,Contra Costa,Greater than or equal to 50% Affordability
San Ramon,Contra Costa,Greater than or equal to 50% Affordability
Walnut Creek,Contra Costa,Greater than or equal to 50% Affordability
Contra Costa County Unincorporated,Contra Costa,Greater than or equal to 50% Affordability
Belvedere,Marin,Greater than or equal to 10% Affordability
Corte Madera,Marin,Not Subject
Fairfax,Marin,Greater than or equal to 10% Affordability
Larkspur,Marin,Greater than or equal to 50% Affordability
