Field Name,Data Type,ACS Calculations,ACS DefInition or COC Definition ,Domain
GEOID,TEXT,,Geographic Identifier,
COUNTY_FIPS,DOUBLE,,Federal Information Processing Standard,
NAME,TEXT,,Census Tract Name,
TOT_POP_MIN,LONG,B03002_001E,Universe: Total Population (Minority Universe) ,
TOT_POP_SEN,LONG,B01001_001E,Universe: Total Population (Senior Universe) ,
TOT_POP_POV,LONG,C17002_001E,Universe: Total population for whom poverty status is determined,
TOT_POP_CIV_NI,LONG,C18108_001E,Universe: Total civilian noninstitutionalized population,
TOT_HH,LONG,B08201_001E,Universe: Total households,
TOT_FAM_CHILD,LONG,B11004_003E + B11004_010E + B11004_016E,"Married-couple family with related children of the householder under 18 years; Male householder, no wife present with related children of the householder under 18 years; Female householder, no husband present with related children of the householder under 18 years",
TOT_POP_OVER5,LONG,B16005_001E,Universe: Total population 5 years and over,
TOT_RENT_OCC_HOUS,LONG,B25070_001E,Universe: Total renter-occupied housing units,
POP_MINORITY,LONG,B03002_001E - B03002_003E,Minority population,
POP_OVER75,LONG,B01001_023E + B01001_024E + B01001_025E + B01001_047E + B01001_048E + B01001_049E,Seniors 75 years and over,
POP_SPFAM,LONG,B11004_010E + B11004_016E,Single-parent family,
POP_LEP,LONG,B16005_007E + B16005_008E + B16005_012E + B16005_013E + B16005_017E + B16005_018E + B16005_022E + B16005_023E + B16005_029E + B16005_030E + B16005_034E + B16005_035E + B16005_039E + B16005_040E + B16005_044E + B16005_045E,Limited English proficiency ,
POP_BELOW200,LONG,C17002_001E - C17002_008E,Low Income (< 200% Federal Poverty Level - FPL) ,
POP_DISABILITY,LONG,C18108_001E - (C18108_005E + C18108_009E + C18108_013E),People with disability,
POP_HUS_RENT50,LONG,B25070_010E,Severely rent-burdened household,
POP_ZVHHS,LONG,B08201_002E,Zero-vehicle household,
PCT_OVER75,DOUBLE,(B01001_023E + B01001_024E + B01001_025E + B01001_047E + B01001_048E + B01001_049E)/B01001_001E,Seniors 75 years and over as a share of total population,
PCT_MINORITY,DOUBLE,(B03002_001E - B03002_003E)/B03002_001E,Minority population as a share of total population,
PCT_SPFAM,DOUBLE,(B11004_010E + B11004_016E)/(B11004_003E + B11004_010E + B11004_016E),Single-parent family as a share of families with related children of the householder under 18 years,
PCT_LEP,DOUBLE,(B16005_007E + B16005_008E + B16005_012E + B16005_013E + B16005_017E + B16005_018E + B16005_022E + B16005_023E + B16005_029E + B16005_030E + B16005_034E + B16005_035E + B16005_039E + B16005_040E + B16005_044E + B16005_045E)/B16005_001E,Limited English proficiency population as a share of total population 5 years and over,
PCT_BELOW200,DOUBLE,C17002_001E - C17002_008E/C17002_001E,Low Income population as a share of total population for whom poverty status is determined,
PCT_DISAB,DOUBLE,(C18108_001E - (C18108_005E + C18108_009E + C18108_013E))/C18108_001E,Disabled population as a share of total civilian noninstitutionalized population,
PCT_ZVHHS,DOUBLE,B08201_002E/B08201_001E,Zero-vehicle households as a share of total households,
PCT_HUS_RENT50,DOUBLE,B25070_010E/B25070_001E,Severely rent-burdened household as a share of total renter-occupied housing units,
OVER75_10,LONG,,Seniors 75 and over make up over 10 percent of the total poulation in a given Census Tract,0 = False; 1 = True
MINORITY_70,LONG,,Minorities make up over 70 percent of the total population in a given Census Tract,0 = False; 1 = True
SPFAM_20,LONG,,Single-parent families make up over 20 percent of the families in a given Census Tract,0 = False; 1 = True
DISAB_25,LONG,,Disabled people make up over 25 percent of the total civilian noninstitutionalized population in a given Census Tract,0 = False; 1 = True
LEP_20,LONG,,People with limited English proficiency make up over 20 percent of the total population 5 years and over in a given Census Tract,0 = False; 1 = True
LOWINC_30,LONG,,Low-income people make up over 30 percent of the total population for whom poverty status is determined in a given Census Tract,0 = False; 1 = True
ZVHH_10,LONG,,Zero-vehicle households make up over 10 percent of the total households in a given Census Tract,0 = False; 1 = True
RENT50OCCHUS_15,LONG,,Severely rent-burdened households make up over 15 percent of total renter-occupied housing units in a given Census Tract,0 = False; 1 = True
COC_FLAG,LONG,,The Census Tract meets MTC's Communities of Concern criteria ,0 = False; 1 = True
