"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG_2014"
"1","06001400100","06","001","400100",3385,3385,2752,3385,1300,195,3223,222,1287,289,19,80,173,223,62,0,0.0853766617429838,0.380206794682422,0.0974358974358974,0.0248215947874651,0.0628633720930233,0.0658788774002954,0,0.279279279279279,0,0,0,0,0,0,0,1,1,0
"2","06001400200","06","001","400200",1939,1939,1939,1939,815,150,1866,300,549,131,15,0,161,143,16,57,0.0675605982465188,0.283135636926251,0.1,0,0.0830324909747292,0.073749355337803,0.0699386503067485,0.0533333333333333,0,0,0,0,0,0,0,0,0,0
"3","06001400300","06","001","400300",5428,5428,5365,5428,2510,462,5110,1356,2092,347,65,131,781,455,181,354,0.063927781871776,0.385408990420044,0.140692640692641,0.0256360078277886,0.145573159366263,0.0838246131171702,0.141035856573705,0.133480825958702,0,0,0,0,0,0,1,0,1,0
"4","06001400400","06","001","400400",4279,4279,4274,4274,1812,399,3986,1089,1722,182,143,43,672,551,126,159,0.042533302173405,0.402430474409909,0.358395989974937,0.0107877571500251,0.157229761347684,0.128919045390735,0.0877483443708609,0.115702479338843,0,0,1,0,0,0,0,0,1,0
"5","06001400500","06","001","400500",3516,3516,3516,3516,1590,206,3321,1006,1674,113,45,64,924,339,207,258,0.0321387940841866,0.476109215017065,0.218446601941748,0.0192713038241494,0.262798634812287,0.0964163822525597,0.162264150943396,0.205765407554672,0,0,1,0,0,0,1,1,3,0
"6","06001400600","06","001","400600",1750,1750,1733,1750,726,166,1684,390,1123,85,84,65,590,215,111,173,0.0485714285714286,0.641714285714286,0.506024096385542,0.0385985748218527,0.340450086555107,0.122857142857143,0.238292011019284,0.284615384615385,0,0,1,0,0,1,1,1,3,1
"7","06001400700","06","001","400700",4396,4396,4396,4396,1786,430,4189,1243,2894,284,228,93,2129,792,440,361,0.0646041856232939,0.658325750682439,0.530232558139535,0.022201002625925,0.484303912647862,0.180163785259327,0.202127659574468,0.353982300884956,0,0,1,0,0,1,1,1,3,1
"8","06001400800","06","001","400800",3218,3218,3168,3206,1591,192,3146,1083,2052,129,82,34,870,384,231,184,0.0400870105655687,0.637663144810441,0.427083333333333,0.0108073744437381,0.274621212121212,0.119775421085465,0.115650534255185,0.213296398891967,0,0,1,0,0,0,1,1,3,0
"9","06001400900","06","001","400900",2031,2031,2031,2031,1016,275,1953,564,1052,26,160,21,528,228,154,101,0.0128015755785327,0.517971442639094,0.581818181818182,0.010752688172043,0.259970457902511,0.112259970457903,0.0994094488188976,0.273049645390071,0,0,1,0,0,0,0,1,2,0
"10","06001401000","06","001","401000",5505,5505,5486,5499,2439,421,5337,1649,3946,306,342,213,2502,839,785,662,0.0555858310626703,0.716802906448683,0.812351543942993,0.0399100618324902,0.456069996354357,0.152573195126387,0.271422714227142,0.476046088538508,0,1,1,0,0,1,1,1,3,1
"11","06001401100","06","001","401100",4240,4240,4240,4240,2021,274,4045,1520,2151,100,137,79,1318,369,354,438,0.0235849056603774,0.507311320754717,0.5,0.0195302843016069,0.310849056603774,0.0870283018867924,0.216724393864424,0.232894736842105,0,0,1,0,0,1,1,1,3,1
"12","06001401200","06","001","401200",2345,2345,2323,2314,1214,154,2264,732,1009,82,59,28,480,177,120,232,0.0349680170575693,0.430277185501066,0.383116883116883,0.0123674911660777,0.206629358588033,0.0764909248055315,0.191103789126853,0.163934426229508,0,0,1,0,0,0,1,1,3,0
"13","06001401300","06","001","401300",3815,3815,3517,3533,1666,148,3737,1480,2874,260,93,421,1953,571,293,663,0.0681520314547838,0.753342070773263,0.628378378378378,0.112657211667113,0.555302814899062,0.161619020662327,0.397959183673469,0.197972972972973,0,1,1,0,0,1,1,1,3,1
"14","06001401400","06","001","401400",4297,4297,4246,4297,1427,430,4076,1201,3470,205,239,468,2876,770,495,465,0.0477077030486386,0.807540144286712,0.555813953488372,0.114818449460255,0.677343382006594,0.17919478706074,0.325858444288718,0.412156536219817,0,1,1,0,0,1,1,1,3,1
"15","06001401500","06","001","401500",2131,2131,2131,2131,955,167,2063,563,1288,119,91,158,1011,302,158,288,0.0558423275457532,0.604411074612858,0.544910179640719,0.0765874939408628,0.474425152510558,0.141717503519474,0.301570680628272,0.280639431616341,0,0,1,0,0,1,1,1,3,1
